text	stratum	label	note
mahabharata_02-appendix-21_sisupala	11	epic Appendix I	CE-documented late integration
mahabharata_07-appendix-08_sodasarajika	11	epic Appendix I	CE-documented late integration
mahabharata_12-appendix-29_moksadharma	11	epic Appendix I	CE-documented late integration
mahabharata_13-appendix-15_umamahesvara	11	epic Appendix I	CE-documented late integration; Umāmaheśvara-saṃvāda
mahabharata_14-appendix-04_vaisnavadharma	11	epic Appendix I	CE-documented late integration; Vaiṣṇavadharma
harivamsa_appendix-29-30_mathura	11	epic Appendix I	CE-documented late integration; Mathurā episodes
harivamsa_appendix-31	11	epic Appendix I	CE-documented late integration
harivamsa_appendix-41	11	epic Appendix I	CE-documented late integration
harivamsa_appendix-42_pradurbhava	11	epic Appendix I	CE-documented late integration; 42 prādurbhāva
sivadharmasastra	13	Śivadharma	lay-Śaiva corpus, ~6th-7th-c. anchors; measured Bhaviṣya donor
sivadharmottara	13	Śivadharma	lay-Śaiva corpus; wholesale in Bhaviṣya Uttara 4.4-6
